IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45036032
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45276780
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45510318
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",45773884
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",46057867
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",68,"Bolivia (Plurinational State of)","BO","BOL",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11936162
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",68,"Bolivia (Plurinational State of)","BO","BOL",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12079472
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",68,"Bolivia (Plurinational State of)","BO","BOL",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12224110
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",68,"Bolivia (Plurinational State of)","BO","BOL",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",12388571
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",68,"Bolivia (Plurinational State of)","BO","BOL",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",12567337
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",76,"Brazil","BR","BRA",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",213196304
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",76,"Brazil","BR","BRA",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",214326223
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",76,"Brazil","BR","BRA",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",215313498
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",76,"Brazil","BR","BRA",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",216422446
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",76,"Brazil","BR","BRA",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",217637297
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",152,"Chile","CL","CHL",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19300315
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",152,"Chile","CL","CHL",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19493185
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",152,"Chile","CL","CHL",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19603733
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",152,"Chile","CL","CHL",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",19629590
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",152,"Chile","CL","CHL",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",19658840
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",170,"Colombia","CO","COL",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",50930663
