run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR6357088	SAMN08141911	SRX3453562	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_60	PAIRED	AMPLICON	METAGENOMIC	PCR	112270	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_60	N50_L001_R1_001.fastq	11905772;15016242	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/008/SRR6357088/SRR6357088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/008/SRR6357088/SRR6357088_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/008/SRR6357088	DG_256	Pregnant_with_GDM	
SRR6357090	SAMN08141917	SRX3453560	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_66	PAIRED	AMPLICON	METAGENOMIC	PCR	118267	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_66	N56_L001_R2_001.fastq	13003351;14296073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/000/SRR6357090/SRR6357090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/000/SRR6357090/SRR6357090_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/000/SRR6357090	DG_263	Pregnant_with_GDM	
SRR6357091	SAMN08141910	SRX3453559	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_59	PAIRED	AMPLICON	METAGENOMIC	PCR	159217	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_59	N49_L001_R2_001.fastq	16737370;20645001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6357091/SRR6357091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6357091/SRR6357091_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/001/SRR6357091	DG_252	Pregnant_with_GDM	
SRR6357092	SAMN08141907	SRX3453558	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_56	PAIRED	AMPLICON	METAGENOMIC	PCR	333308	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_56	N72_L001_R1_001.fastq	37797403;42785983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/002/SRR6357092/SRR6357092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/002/SRR6357092/SRR6357092_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/002/SRR6357092	IG_628	Pregnant_without_GDM	
SRR6357093	SAMN08141891	SRX3453557	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_40	PAIRED	AMPLICON	METAGENOMIC	PCR	207883	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_40	N37_L001_R1_001.fastq	22820335;25323292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/003/SRR6357093/SRR6357093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/003/SRR6357093/SRR6357093_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/003/SRR6357093	IG_614	Pregnant_without_GDM	
SRR6357095	SAMN08141890	SRX3453555	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_39	PAIRED	AMPLICON	METAGENOMIC	PCR	207074	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_39	N36_L001_R1_001.fastq	22702057;25783306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/005/SRR6357095/SRR6357095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/005/SRR6357095/SRR6357095_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/005/SRR6357095	IG_613	Pregnant_without_GDM	
SRR6357096	SAMN08141921	SRX3453554	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_70	PAIRED	AMPLICON	METAGENOMIC	PCR	113945	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_70	N60_L001_R1_001.fastq	11981026;13503631	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/006/SRR6357096/SRR6357096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/006/SRR6357096/SRR6357096_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/006/SRR6357096	DG_267	Pregnant_with_GDM	
SRR6357103	SAMN08141899	SRX3453547	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_48	PAIRED	AMPLICON	METAGENOMIC	PCR	231707	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_48	N45_L001_R2_001.fastq	25447598;28405396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/003/SRR6357103/SRR6357103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/003/SRR6357103/SRR6357103_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/003/SRR6357103	IG_633	Pregnant_without_GDM	
SRR6357110	SAMN08141876	SRX3453540	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_25	PAIRED	AMPLICON	METAGENOMIC	PCR	162489	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_25	N22_L001_R2_001.fastq	17407594;21283925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/000/SRR6357110/SRR6357110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/000/SRR6357110/SRR6357110_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/000/SRR6357110	IG_590	Pregnant_without_GDM	
SRR6357111	SAMN08141877	SRX3453539	PRJNA421371	SRA636793	408170	human gut metagenome	LIB_26	PAIRED	AMPLICON	METAGENOMIC	PCR	214611	2017-12-08	Illumina MiSeq sequencing: Cross-sectional study comparing the fecal microbiota composition of non-pregnant women and pregnant women with and without gestational diabetes mellitus	Analysis of oral, intestinal and vaginal microbiota composition and its relation to gestational diabetes mellitus	PRJNA421371	LIB_26	N23_L001_R2_001.fastq	24185536;28907730	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6357111/SRR6357111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6357111/SRR6357111_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/001/SRR6357111	IG_591	Pregnant_without_GDM	
