run_accession	sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR3928932	SAMEA6562960	ERX3936539	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-CC-A1.R	PAIRED	AMPLICON	METAGENOMIC	PCR	184708	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:268-2	ena-RUN-LIMM-14-02-2020-13:18:41:268-2	12209779;10265753	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/002/ERR3928932/ERR3928932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/002/ERR3928932/ERR3928932_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928932/GCRFNG_AR-CC-A1.R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928932/GCRFNG_AR-CC-A1.R_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/002/ERR3928932	GCRFNG_AR-CC-A1.R	Non-Western colorectal cancer microbiomes	
ERR3928933	SAMEA6562996	ERX3936540	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-CC-B2	PAIRED	AMPLICON	METAGENOMIC	PCR	176458	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:268-3	ena-RUN-LIMM-14-02-2020-13:18:41:268-3	11321912;9678784	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/003/ERR3928933/ERR3928933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/003/ERR3928933/ERR3928933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928933/GCRFNG_AR-CC-B2_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928933/GCRFNG_AR-CC-B2_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/003/ERR3928933	GCRFNG_AR-CC-B2	Non-Western colorectal cancer microbiomes	
ERR3928941	SAMEA6563002	ERX3936548	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-CC-H8	PAIRED	AMPLICON	METAGENOMIC	PCR	161280	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-11	ena-RUN-LIMM-14-02-2020-13:18:41:269-11	10133740;8420515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/001/ERR3928941/ERR3928941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/001/ERR3928941/ERR3928941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928941/GCRFNG_AR-CC-H8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928941/GCRFNG_AR-CC-H8_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/001/ERR3928941	GCRFNG_AR-CC-H8	Non-Western colorectal cancer microbiomes	
ERR3928943	SAMEA6562884	ERX3936550	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-CC-J10	PAIRED	AMPLICON	METAGENOMIC	PCR	141776	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-13	ena-RUN-LIMM-14-02-2020-13:18:41:269-13	9665652;8162182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/003/ERR3928943/ERR3928943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/003/ERR3928943/ERR3928943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928943/GCRFNG_AR-CC-J10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928943/GCRFNG_AR-CC-J10_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/003/ERR3928943	GCRFNG_AR-CC-J10	Non-Western colorectal cancer microbiomes	
ERR3928944	SAMEA6562913	ERX3936551	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-A1	PAIRED	AMPLICON	METAGENOMIC	PCR	205749	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-14	ena-RUN-LIMM-14-02-2020-13:18:41:269-14	13766397;11421509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/004/ERR3928944/ERR3928944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/004/ERR3928944/ERR3928944_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928944/GCRFNG_AR-HV-A1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928944/GCRFNG_AR-HV-A1_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/004/ERR3928944	GCRFNG_AR-HV-A1	Non-Western colorectal cancer microbiomes	
ERR3928946	SAMEA6562936	ERX3936553	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-B2	PAIRED	AMPLICON	METAGENOMIC	PCR	196708	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-16	ena-RUN-LIMM-14-02-2020-13:18:41:269-16	13403416;11821000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/006/ERR3928946/ERR3928946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/006/ERR3928946/ERR3928946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928946/GCRFNG_AR-HV-B2_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928946/GCRFNG_AR-HV-B2_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/006/ERR3928946	GCRFNG_AR-HV-B2	Non-Western colorectal cancer microbiomes	
ERR3928949	SAMEA6562927	ERX3936556	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-C3.R	PAIRED	AMPLICON	METAGENOMIC	PCR	67505	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-19	ena-RUN-LIMM-14-02-2020-13:18:41:269-19	4531072;3966504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/009/ERR3928949/ERR3928949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/009/ERR3928949/ERR3928949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928949/GCRFNG_AR-HV-C3.R_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928949/GCRFNG_AR-HV-C3.R_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/009/ERR3928949	GCRFNG_AR-HV-C3.R	Non-Western colorectal cancer microbiomes	
ERR3928950	SAMEA6562998	ERX3936557	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-D4	PAIRED	AMPLICON	METAGENOMIC	PCR	149909	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-20	ena-RUN-LIMM-14-02-2020-13:18:41:269-20	9422970;7913851	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/000/ERR3928950/ERR3928950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/000/ERR3928950/ERR3928950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928950/GCRFNG_AR-HV-D4_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928950/GCRFNG_AR-HV-D4_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/000/ERR3928950	GCRFNG_AR-HV-D4	Non-Western colorectal cancer microbiomes	
ERR3928952	SAMEA6562930	ERX3936559	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-F6	PAIRED	AMPLICON	METAGENOMIC	PCR	132106	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-22	ena-RUN-LIMM-14-02-2020-13:18:41:269-22	8673301;7299997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/002/ERR3928952/ERR3928952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/002/ERR3928952/ERR3928952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928952/GCRFNG_AR-HV-F6_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928952/GCRFNG_AR-HV-F6_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/002/ERR3928952	GCRFNG_AR-HV-F6	Non-Western colorectal cancer microbiomes	
ERR3928954	SAMEA6562890	ERX3936561	PRJEB36789	ERA2383252	256318	metagenome	GCRFNG_AR-HV-H8	PAIRED	AMPLICON	METAGENOMIC	PCR	179016	2020-02-24	Illumina HiSeq 4000 paired end sequencing	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	ena-STUDY-LIMM-14-02-2020-12:35:31:340-348	ena-EXPERIMENT-LIMM-14-02-2020-13:18:41:269-24	ena-RUN-LIMM-14-02-2020-13:18:41:269-24	11797757;9865514	ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/004/ERR3928954/ERR3928954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR392/004/ERR3928954/ERR3928954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928954/GCRFNG_AR-HV-H8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR392/ERR3928954/GCRFNG_AR-HV-H8_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR392/004/ERR3928954	GCRFNG_AR-HV-H8	Non-Western colorectal cancer microbiomes	
